Name of the company,Location,Listed,Products,Revenue ,EBITDA (IN MILLIONS),Website
3DS LIGHTING SOLUTIONS PVT LTD,,,,,,
99 AUTO FLASH,,,,,,
A.R SPARES PVT LTD,,,,,,
AARCO INDUSTRIES PVT LTD,JALANDHAR,NO,"Our range comprises Axle Spindle, Steel Spindle For Tractor, Tractor Spindle, Spindle For UTB, Spindle Lift Kits, Spindle Sander, Top Link Assemblies, Tractor Top Link Assembly, Top Link Assembly For Ford, Top Link Balls, Top Link Assy, Leveling Box Assemblies, Leveling Box Assembly For Tractor, Left Hand Leveling Box Assembly – Ford, Leveling Box Assembly Ford, Leveling Box Assembly Massey Ferguson, Tie Rod Ends, John Deere Tie Rod End, Automotive Tie Rod End, Auto Tie Rod End, Ford Tie Rod End, Massey Ferguson Tie Rod End, Tie Rod For Massey Ferguson Tractor, Hub Assembly, Trailer Hub, Tractor Hub, Lower Link Ends, Lower Link Ball End, Harvester Beaters, Combine Harvester Beater, King Pins Bushing, Trailer Wheel Pins, Drag Link Assembly, Tractor Linkage Parts, Steering Parts, Tractor Steering Arms, Bow Shackles, ",,,https://aarcoindustries.com/
ABATEK (ASIA) PUBLIC COMPANY LIMITED,,,,,,
ABBTRON NEXTGEN PVT LTD.,,,,,,
ABBTRON TECHNOLOGIES PRIVATE LIMITED,,,,,,
ABBTRON TECHNOLOGIES PVT LTD,,,,,,
ABHI ENTERPRISES,FARIDABAD,NO,Automotive Air Conditioning hose and pipes.,,,https://www.abhienterprises.net/
ABHIRASHI IMPEX,FARIDABAD,NO,"sheet metal and pressings, plastic molding, rubber molding, rubber extruded parts, die casting components,",,,https://www.abhirashi.com/contact.htm
ABILITIES INDIA PISTONS & RINGS LTD.,DELHI,NO,PISTON AND RINGS,1103.43 (2023),140.41 (2023),http://aippistons.com/
"ABL AUTOMAZIONE SRL, ITALY",OVERSEAS,,,,,
ABRAIN,,,,,,
ACCOLADE ELECTRONICS PRIVATE LIMITED,PUNE,NO,"LED (light-emitting diode) emergency light, industrial product, power conversion, engine safety unit, low voltage detection controller, direct current and alternating current energy  meter",1275.45 (2023),146.97 (2023),http://accoladeelectronics.com/
ACME UDYOG,JALANDHAR,NO,"rod ends, spindles, draglinks, linkage, steering arms, ball joints etc",,,http://www.acmeudyog.com/
